"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Генерация тестовых данных работает","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","603","Проверка Service Worker для PWA","api-tests","Tue Feb 10 21:43:44 MSK 2026","passed","Tue Feb 10 21:43:44 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","310","5. GET /static/media/*.jpg - загрузка изображения товара","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","371","Комплексная проверка SPA приложения","api-tests","Tue Feb 10 21:43:42 MSK 2026","passed","Tue Feb 10 21:43:42 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","275","5. Проверка производительности","api-tests","Tue Feb 10 21:36:13 MSK 2026","passed","Tue Feb 10 21:36:13 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","69","3. GET /static/css/main.*.css - загрузка стилей","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","266","2. Фавикон существует","api-tests","Tue Feb 10 20:43:47 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","77","Проверка кэширования","api-tests","Tue Feb 10 21:36:14 MSK 2026","passed","Tue Feb 10 21:36:14 MSK 2026","🔐 Дополнительные API тесты","","",""
"","184","Проверка на SQL инъекцию (простая)","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","2172","Ошибка при неверном пароле","ui-tests","Tue Feb 10 20:41:01 MSK 2026","passed","Tue Feb 10 20:41:04 MSK 2026","","ui\specs\login.test.js","",""
"","276","GET /inventory.html - проверка времени ответа","api-tests","Tue Feb 10 20:10:35 MSK 2026","failed","Tue Feb 10 20:10:35 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","237","Проверка фавикона","api-tests","Tue Feb 10 21:33:37 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","250","5. Проверка заголовков безопасности","api-tests","Tue Feb 10 21:33:35 MSK 2026","failed","Tue Feb 10 21:33:35 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","165","Проверка 404 страницы","api-tests","Tue Feb 10 21:33:38 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","245","1. Успешная авторизация валидным пользователем","api-tests","Tue Feb 10 21:09:43 MSK 2026","failed","Tue Feb 10 21:09:43 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","240","2. Успешная авторизация через форму логина","api-tests","Tue Feb 10 21:33:33 MSK 2026","failed","Tue Feb 10 21:33:33 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","352","4. Проверка статических ресурсов (CSS, изображения)","api-tests","Tue Feb 10 21:33:35 MSK 2026","failed","Tue Feb 10 21:33:35 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","171","4. Страница возвращает 404 для несуществующего пути","api-tests","Tue Feb 10 20:43:48 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","68","4. Проверка статических ресурсов (фавикон)","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","","",""
"","2835","Добавление товара в корзину","ui-tests","Tue Feb 10 20:40:56 MSK 2026","passed","Tue Feb 10 20:40:59 MSK 2026","Покупка товаров на Sauce Demo","ui\specs\ecommerce.test.js","",""
"","9","POST / - логин с неверным паролем возвращает ошибку","api-tests","Tue Feb 10 20:41:28 MSK 2026","failed","Tue Feb 10 20:41:28 MSK 2026","API тесты Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","75","4. GET /inventory.html - не-SPA путь возвращает 404","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","254","Проверка HTTPS и редиректов","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","525","3. Статические ресурсы SPA доступны","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:42 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","66","Проверка наличия формы логина через API","api-tests","Tue Feb 10 21:36:13 MSK 2026","failed","Tue Feb 10 21:36:13 MSK 2026","🔐 Дополнительные API тесты","","",""
"","71","6. GET /manifest.json - веб-манифест PWA","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","831","POST /pet - создание нового питомца","api-tests","Tue Feb 10 20:27:56 MSK 2026","failed","Tue Feb 10 20:27:56 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","73","Проверка недоступности защищенных страниц без авторизации","api-tests","Tue Feb 10 21:36:11 MSK 2026","failed","Tue Feb 10 21:36:11 MSK 2026","🔐 Дополнительные API тесты","","",""
"","251","2. Ошибка авторизации с невалидными данными","api-tests","Tue Feb 10 21:09:43 MSK 2026","failed","Tue Feb 10 21:09:43 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","2678","5. Полное оформление заказа","ui-tests","Thu Feb 12 19:03:44 MSK 2026","passed","Thu Feb 12 19:03:46 MSK 2026","🎓 UI ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","UI\specs\sauceDemoUiTests.test.js","",""
"","995","PUT /pet - обновление информации о питомце","api-tests","Tue Feb 10 20:25:42 MSK 2026","failed","Tue Feb 10 20:25:43 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","64","5. Проверка заголовков безопасности","api-tests","Tue Feb 10 20:43:48 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","245","1. SPA приложение загружается и возвращает HTML","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:41 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","234","Заблокированный пользователь не может авторизоваться","api-tests","Tue Feb 10 21:09:48 MSK 2026","failed","Tue Feb 10 21:09:49 MSK 2026","🔐 Дополнительные тесты безопасности API","","",""
"","344","3. Проверка статических ресурсов","api-tests","Tue Feb 10 21:36:11 MSK 2026","passed","Tue Feb 10 21:36:11 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","2702","Удаление товара из корзины","ui-tests","Tue Feb 10 20:40:56 MSK 2026","passed","Tue Feb 10 20:40:58 MSK 2026","Покупка товаров на Sauce Demo","ui\specs\ecommerce.test.js","",""
"","2728","1. Успешная авторизация стандартного пользователя","ui-tests","Thu Feb 12 19:03:38 MSK 2026","passed","Thu Feb 12 19:03:41 MSK 2026","🎓 UI ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","UI\specs\sauceDemoUiTests.test.js","",""
"","225","3. GET /non-existent - 404 ошибка (Service с ассертами)","api-tests","Tue Feb 10 20:52:07 MSK 2026","passed","Tue Feb 10 20:52:07 MSK 2026","🎓 API тесты для диплома (5 тестов)","api\specs\sauceDemoApi.test.js","",""
"","749","DELETE /pet/{id} - удаление питомца","api-tests","Tue Feb 10 20:27:59 MSK 2026","passed","Tue Feb 10 20:28:00 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","275","Проверка robots.txt","api-tests","Tue Feb 10 21:33:37 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","751","Интеграционный тест: полный цикл SPA","api-tests","Tue Feb 10 21:43:42 MSK 2026","passed","Tue Feb 10 21:43:43 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","265","Доступ к страницам без авторизации","api-tests","Tue Feb 10 21:09:50 MSK 2026","failed","Tue Feb 10 21:09:51 MSK 2026","🔐 Дополнительные тесты безопасности API","","",""
"","110","3. Проверка содержания страницы","api-tests","Thu Feb 12 19:03:47 MSK 2026","passed","Thu Feb 12 19:03:47 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","API\specs\sauceDemoApi.test.js","",""
"","243","2. PWA манифест существует и валиден","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:41 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","66","4. Проверка мета-тегов и PWA функционала","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:41 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","369","4. Загрузка статических ресурсов (изображений)","api-tests","Tue Feb 10 21:09:45 MSK 2026","failed","Tue Feb 10 21:09:46 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","159","5. Производительность и доступность SPA","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:41 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","284","2. Проверка HTML структуры страницы","api-tests","Tue Feb 10 21:36:09 MSK 2026","failed","Tue Feb 10 21:36:09 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","238","4. Проверка безопасности и заголовков","api-tests","Tue Feb 10 21:36:11 MSK 2026","failed","Tue Feb 10 21:36:11 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","287","1. GET / - главная страница (Service с ассертами)","api-tests","Tue Feb 10 20:52:06 MSK 2026","passed","Tue Feb 10 20:52:07 MSK 2026","🎓 API тесты для диплома (5 тестов)","api\specs\sauceDemoApi.test.js","",""
"","259","1. Главная страница возвращает HTML","api-tests","Tue Feb 10 20:43:47 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","529","3. Получение данных инвентаря (товаров)","api-tests","Tue Feb 10 21:09:45 MSK 2026","failed","Tue Feb 10 21:09:46 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","237","GET /inventory.html - проверка структуры данных","api-tests","Tue Feb 10 20:10:30 MSK 2026","failed","Tue Feb 10 20:10:30 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","260","1. Проверка доступности и структуры главной страницы","api-tests","Tue Feb 10 21:36:09 MSK 2026","failed","Tue Feb 10 21:36:09 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","65","Авторизация заблокированного пользователя","api-tests","Tue Feb 10 21:33:38 MSK 2026","failed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","71","3. CSS файлы загружаются","api-tests","Tue Feb 10 20:43:48 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","280","5. GET /favicon.ico - фавикон (Service с ассертами)","api-tests","Tue Feb 10 20:52:09 MSK 2026","passed","Tue Feb 10 20:52:09 MSK 2026","🎓 API тесты для диплома (5 тестов)","api\specs\sauceDemoApi.test.js","",""
"","326","2. Проверка заголовков и Content-Type","api-tests","Thu Feb 12 19:03:49 MSK 2026","passed","Thu Feb 12 19:03:49 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","API\specs\sauceDemoApi.test.js","",""
"","2574","2. Ошибка авторизации заблокированного пользователя","ui-tests","Thu Feb 12 19:03:38 MSK 2026","passed","Thu Feb 12 19:03:41 MSK 2026","🎓 UI ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","UI\specs\sauceDemoUiTests.test.js","",""
"","94","Проверка времени ответа","api-tests","Tue Feb 10 21:33:38 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","65","GET /inventory.html - проверка кэширующих заголовков","api-tests","Tue Feb 10 20:10:33 MSK 2026","passed","Tue Feb 10 20:10:33 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","367","Негативные тесты - обработка ошибок","api-tests","Tue Feb 10 20:28:00 MSK 2026","failed","Tue Feb 10 20:28:00 MSK 2026","","api\specs\petApi.test.js","",""
"","354","SPA роутинг работает корректно","api-tests","Tue Feb 10 21:43:41 MSK 2026","failed","Tue Feb 10 21:43:42 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","2564","Успешная авторизация","ui-tests","Tue Feb 10 20:40:59 MSK 2026","passed","Tue Feb 10 20:41:01 MSK 2026","","ui\specs\login.test.js","",""
"","243","GET /api/nonexistent - обработка ошибки 404","api-tests","Tue Feb 10 20:10:32 MSK 2026","passed","Tue Feb 10 20:10:32 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","237","5. Симуляция работы с корзиной","api-tests","Tue Feb 10 21:09:48 MSK 2026","failed","Tue Feb 10 21:09:48 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","2691","Полное оформление заказа","ui-tests","Tue Feb 10 20:40:59 MSK 2026","passed","Tue Feb 10 20:41:01 MSK 2026","Покупка товаров на Sauce Demo","ui\specs\ecommerce.test.js","",""
"","2631","3. Добавление товара в корзину","ui-tests","Thu Feb 12 19:03:41 MSK 2026","passed","Thu Feb 12 19:03:44 MSK 2026","🎓 UI ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","UI\specs\sauceDemoUiTests.test.js","",""
"","775","PUT /pet - обновление информации","api-tests","Tue Feb 10 20:27:59 MSK 2026","passed","Tue Feb 10 20:28:00 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","307","1. Проверка доступности сайта","api-tests","Thu Feb 12 19:03:47 MSK 2026","passed","Thu Feb 12 19:03:47 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","API\specs\sauceDemoApi.test.js","",""
"","64","3. Неуспешная авторизация с неверными данными","api-tests","Tue Feb 10 21:33:33 MSK 2026","failed","Tue Feb 10 21:33:33 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","804","GET /pet/{id} - получение информации о питомце","api-tests","Tue Feb 10 20:27:56 MSK 2026","passed","Tue Feb 10 20:27:56 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","178","GET /pet/findByStatus - поиск питомцев по статусу","api-tests","Tue Feb 10 20:27:57 MSK 2026","failed","Tue Feb 10 20:27:57 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","265","Проверка Content-Type заголовков","api-tests","Tue Feb 10 21:36:15 MSK 2026","passed","Tue Feb 10 21:36:16 MSK 2026","🔐 Дополнительные API тесты","","",""
"","290","2. GET /static/css - статический файл (Service с ассертами)","api-tests","Tue Feb 10 20:52:06 MSK 2026","passed","Tue Feb 10 20:52:07 MSK 2026","🎓 API тесты для диплома (5 тестов)","api\specs\sauceDemoApi.test.js","",""
"","793","POST /pet - создание с неверными данными (негативный тест)","api-tests","Tue Feb 10 20:25:45 MSK 2026","passed","Tue Feb 10 20:25:46 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","62","Проверка HTTP заголовков для SPA","api-tests","Tue Feb 10 21:43:42 MSK 2026","passed","Tue Feb 10 21:43:42 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","652","2. GET ?/inventory.html - страница товаров с кукой авторизации","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","242","GET /inventory.html - проверка заголовков","api-tests","Tue Feb 10 20:10:32 MSK 2026","failed","Tue Feb 10 20:10:32 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","67","4. Проверка статических ресурсов","api-tests","Thu Feb 12 19:03:47 MSK 2026","passed","Thu Feb 12 19:03:47 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","API\specs\sauceDemoApi.test.js","",""
"","268","GET / - главная страница возвращает 200 и корректный HTML","api-tests","Tue Feb 10 20:41:28 MSK 2026","failed","Tue Feb 10 20:41:29 MSK 2026","API тесты Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","318","1. GET / - главная страница (публичная)","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","274","Корректность CORS заголовков","api-tests","Tue Feb 10 21:09:50 MSK 2026","passed","Tue Feb 10 21:09:51 MSK 2026","🔐 Дополнительные тесты безопасности API","","",""
"","2455","4. Удаление товара из корзины","ui-tests","Thu Feb 12 19:03:42 MSK 2026","passed","Thu Feb 12 19:03:44 MSK 2026","🎓 UI ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","UI\specs\sauceDemoUiTests.test.js","",""
"","10","4. GET ?/inventory.html - авторизация (Service с ассертами)","api-tests","Tue Feb 10 20:52:07 MSK 2026","failed","Tue Feb 10 20:52:07 MSK 2026","🎓 API тесты для диплома (5 тестов)","api\specs\sauceDemoApi.test.js","",""
"","230","GET /inventory.html - успешное получение товаров","api-tests","Tue Feb 10 20:10:30 MSK 2026","failed","Tue Feb 10 20:10:30 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","59","5. Проверка производительности","api-tests","Thu Feb 12 19:03:47 MSK 2026","passed","Thu Feb 12 19:03:47 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","API\specs\sauceDemoApi.test.js","",""
"","282","1. Проверка доступности главной страницы","api-tests","Tue Feb 10 21:33:33 MSK 2026","passed","Tue Feb 10 21:33:33 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","905","Проверка редиректов для защищенных путей","api-tests","Tue Feb 10 21:36:13 MSK 2026","passed","Tue Feb 10 21:36:14 MSK 2026","🔐 Дополнительные API тесты","","",""
